image,image_path,label
00015_00006_00005,data\gtsrb\Train\15\00015_00006_00005.png,15
00037_00000_00003,data\gtsrb\Train\37\00037_00000_00003.png,37
00010_00023_00019,data\gtsrb\Train\10\00010_00023_00019.png,10
00008_00017_00020,data\gtsrb\Train\8\00008_00017_00020.png,8
00038_00044_00014,data\gtsrb\Train\38\00038_00044_00014.png,38
00001_00030_00015,data\gtsrb\Train\1\00001_00030_00015.png,1
00017_00010_00011,data\gtsrb\Train\17\00017_00010_00011.png,17
00013_00011_00008,data\gtsrb\Train\13\00013_00011_00008.png,13
00001_00029_00027,data\gtsrb\Train\1\00001_00029_00027.png,1
00023_00005_00029,data\gtsrb\Train\23\00023_00005_00029.png,23
00018_00018_00017,data\gtsrb\Train\18\00018_00018_00017.png,18
00002_00051_00018,data\gtsrb\Train\2\00002_00051_00018.png,2
00009_00014_00016,data\gtsrb\Train\9\00009_00014_00016.png,9
00025_00029_00024,data\gtsrb\Train\25\00025_00029_00024.png,25
00038_00059_00000,data\gtsrb\Train\38\00038_00059_00000.png,38
00038_00005_00008,data\gtsrb\Train\38\00038_00005_00008.png,38
00010_00030_00007,data\gtsrb\Train\10\00010_00030_00007.png,10
00029_00008_00019,data\gtsrb\Train\29\00029_00008_00019.png,29
00013_00054_00014,data\gtsrb\Train\13\00013_00054_00014.png,13
00013_00032_00001,data\gtsrb\Train\13\00013_00032_00001.png,13
00005_00013_00019,data\gtsrb\Train\5\00005_00013_00019.png,5
00012_00022_00005,data\gtsrb\Train\12\00012_00022_00005.png,12
00008_00041_00013,data\gtsrb\Train\8\00008_00041_00013.png,8
00034_00009_00022,data\gtsrb\Train\34\00034_00009_00022.png,34
00021_00008_00025,data\gtsrb\Train\21\00021_00008_00025.png,21
00015_00008_00021,data\gtsrb\Train\15\00015_00008_00021.png,15
00014_00005_00007,data\gtsrb\Train\14\00014_00005_00007.png,14
00014_00008_00026,data\gtsrb\Train\14\00014_00008_00026.png,14
00006_00000_00005,data\gtsrb\Train\6\00006_00000_00005.png,6
00008_00038_00020,data\gtsrb\Train\8\00008_00038_00020.png,8
00004_00047_00016,data\gtsrb\Train\4\00004_00047_00016.png,4
00008_00023_00023,data\gtsrb\Train\8\00008_00023_00023.png,8
00025_00041_00015,data\gtsrb\Train\25\00025_00041_00015.png,25
00009_00017_00010,data\gtsrb\Train\9\00009_00017_00010.png,9
00038_00030_00017,data\gtsrb\Train\38\00038_00030_00017.png,38
00014_00016_00020,data\gtsrb\Train\14\00014_00016_00020.png,14
00008_00016_00007,data\gtsrb\Train\8\00008_00016_00007.png,8
00035_00035_00016,data\gtsrb\Train\35\00035_00035_00016.png,35
00025_00025_00020,data\gtsrb\Train\25\00025_00025_00020.png,25
00040_00003_00018,data\gtsrb\Train\40\00040_00003_00018.png,40
00010_00025_00026,data\gtsrb\Train\10\00010_00025_00026.png,10
00012_00067_00000,data\gtsrb\Train\12\00012_00067_00000.png,12
00029_00000_00009,data\gtsrb\Train\29\00029_00000_00009.png,29
00031_00006_00016,data\gtsrb\Train\31\00031_00006_00016.png,31
00013_00001_00009,data\gtsrb\Train\13\00013_00001_00009.png,13
00030_00006_00019,data\gtsrb\Train\30\00030_00006_00019.png,30
00017_00007_00007,data\gtsrb\Train\17\00017_00007_00007.png,17
00012_00061_00002,data\gtsrb\Train\12\00012_00061_00002.png,12
00005_00044_00002,data\gtsrb\Train\5\00005_00044_00002.png,5
00025_00025_00029,data\gtsrb\Train\25\00025_00025_00029.png,25
00025_00004_00011,data\gtsrb\Train\25\00025_00004_00011.png,25
00011_00026_00027,data\gtsrb\Train\11\00011_00026_00027.png,11
00023_00014_00021,data\gtsrb\Train\23\00023_00014_00021.png,23
00021_00008_00019,data\gtsrb\Train\21\00021_00008_00019.png,21
00019_00003_00024,data\gtsrb\Train\19\00019_00003_00024.png,19
00038_00047_00009,data\gtsrb\Train\38\00038_00047_00009.png,38
00005_00006_00026,data\gtsrb\Train\5\00005_00006_00026.png,5
00038_00068_00008,data\gtsrb\Train\38\00038_00068_00008.png,38
00010_00046_00016,data\gtsrb\Train\10\00010_00046_00016.png,10
00025_00023_00013,data\gtsrb\Train\25\00025_00023_00013.png,25
00006_00009_00011,data\gtsrb\Train\6\00006_00009_00011.png,6
00025_00004_00018,data\gtsrb\Train\25\00025_00004_00018.png,25
00025_00011_00028,data\gtsrb\Train\25\00025_00011_00028.png,25
00035_00027_00015,data\gtsrb\Train\35\00035_00027_00015.png,35
00001_00069_00024,data\gtsrb\Train\1\00001_00069_00024.png,1
00002_00042_00009,data\gtsrb\Train\2\00002_00042_00009.png,2
00004_00025_00026,data\gtsrb\Train\4\00004_00025_00026.png,4
00002_00054_00010,data\gtsrb\Train\2\00002_00054_00010.png,2
00001_00062_00018,data\gtsrb\Train\1\00001_00062_00018.png,1
00027_00007_00027,data\gtsrb\Train\27\00027_00007_00027.png,27
00013_00027_00019,data\gtsrb\Train\13\00013_00027_00019.png,13
00029_00004_00017,data\gtsrb\Train\29\00029_00004_00017.png,29
00025_00013_00020,data\gtsrb\Train\25\00025_00013_00020.png,25
00022_00001_00014,data\gtsrb\Train\22\00022_00001_00014.png,22
00012_00057_00006,data\gtsrb\Train\12\00012_00057_00006.png,12
00004_00011_00006,data\gtsrb\Train\4\00004_00011_00006.png,4
00013_00000_00025,data\gtsrb\Train\13\00013_00000_00025.png,13
00033_00010_00017,data\gtsrb\Train\33\00033_00010_00017.png,33
00002_00039_00026,data\gtsrb\Train\2\00002_00039_00026.png,2
00012_00065_00000,data\gtsrb\Train\12\00012_00065_00000.png,12
00038_00029_00003,data\gtsrb\Train\38\00038_00029_00003.png,38
00035_00035_00010,data\gtsrb\Train\35\00035_00035_00010.png,35
00015_00019_00006,data\gtsrb\Train\15\00015_00019_00006.png,15
00001_00053_00022,data\gtsrb\Train\1\00001_00053_00022.png,1
00011_00004_00023,data\gtsrb\Train\11\00011_00004_00023.png,11
00003_00042_00003,data\gtsrb\Train\3\00003_00042_00003.png,3
00009_00032_00026,data\gtsrb\Train\9\00009_00032_00026.png,9
00038_00056_00011,data\gtsrb\Train\38\00038_00056_00011.png,38
00009_00004_00027,data\gtsrb\Train\9\00009_00004_00027.png,9
00040_00006_00015,data\gtsrb\Train\40\00040_00006_00015.png,40
00004_00047_00012,data\gtsrb\Train\4\00004_00047_00012.png,4
00030_00002_00027,data\gtsrb\Train\30\00030_00002_00027.png,30
00005_00025_00011,data\gtsrb\Train\5\00005_00025_00011.png,5
00010_00005_00011,data\gtsrb\Train\10\00010_00005_00011.png,10
00003_00022_00003,data\gtsrb\Train\3\00003_00022_00003.png,3
00013_00044_00023,data\gtsrb\Train\13\00013_00044_00023.png,13
00015_00013_00005,data\gtsrb\Train\15\00015_00013_00005.png,15
00002_00052_00021,data\gtsrb\Train\2\00002_00052_00021.png,2
00007_00006_00021,data\gtsrb\Train\7\00007_00006_00021.png,7
00039_00006_00000,data\gtsrb\Train\39\00039_00006_00000.png,39
00023_00004_00014,data\gtsrb\Train\23\00023_00004_00014.png,23
00002_00060_00000,data\gtsrb\Train\2\00002_00060_00000.png,2
00009_00016_00017,data\gtsrb\Train\9\00009_00016_00017.png,9
00003_00046_00019,data\gtsrb\Train\3\00003_00046_00019.png,3
00007_00019_00026,data\gtsrb\Train\7\00007_00019_00026.png,7
00010_00056_00025,data\gtsrb\Train\10\00010_00056_00025.png,10
00000_00005_00011,data\gtsrb\Train\0\00000_00005_00011.png,0
00002_00022_00021,data\gtsrb\Train\2\00002_00022_00021.png,2
00035_00030_00002,data\gtsrb\Train\35\00035_00030_00002.png,35
00039_00005_00011,data\gtsrb\Train\39\00039_00005_00011.png,39
00007_00028_00002,data\gtsrb\Train\7\00007_00028_00002.png,7
00020_00010_00024,data\gtsrb\Train\20\00020_00010_00024.png,20
00007_00027_00018,data\gtsrb\Train\7\00007_00027_00018.png,7
00023_00008_00016,data\gtsrb\Train\23\00023_00008_00016.png,23
00003_00022_00016,data\gtsrb\Train\3\00003_00022_00016.png,3
00018_00030_00009,data\gtsrb\Train\18\00018_00030_00009.png,18
00025_00027_00027,data\gtsrb\Train\25\00025_00027_00027.png,25
00026_00012_00021,data\gtsrb\Train\26\00026_00012_00021.png,26
00001_00040_00016,data\gtsrb\Train\1\00001_00040_00016.png,1
00008_00026_00000,data\gtsrb\Train\8\00008_00026_00000.png,8
00011_00018_00019,data\gtsrb\Train\11\00011_00018_00019.png,11
00015_00018_00027,data\gtsrb\Train\15\00015_00018_00027.png,15
00020_00001_00018,data\gtsrb\Train\20\00020_00001_00018.png,20
00011_00027_00005,data\gtsrb\Train\11\00011_00027_00005.png,11
00038_00046_00007,data\gtsrb\Train\38\00038_00046_00007.png,38
00013_00034_00010,data\gtsrb\Train\13\00013_00034_00010.png,13
00010_00039_00006,data\gtsrb\Train\10\00010_00039_00006.png,10
00013_00033_00029,data\gtsrb\Train\13\00013_00033_00029.png,13
00036_00008_00004,data\gtsrb\Train\36\00036_00008_00004.png,36
00002_00054_00014,data\gtsrb\Train\2\00002_00054_00014.png,2
00003_00042_00015,data\gtsrb\Train\3\00003_00042_00015.png,3
00038_00062_00000,data\gtsrb\Train\38\00038_00062_00000.png,38
00011_00025_00013,data\gtsrb\Train\11\00011_00025_00013.png,11
00038_00007_00022,data\gtsrb\Train\38\00038_00007_00022.png,38
00010_00060_00011,data\gtsrb\Train\10\00010_00060_00011.png,10
00017_00024_00019,data\gtsrb\Train\17\00017_00024_00019.png,17
00008_00046_00029,data\gtsrb\Train\8\00008_00046_00029.png,8
00030_00011_00002,data\gtsrb\Train\30\00030_00011_00002.png,30
00023_00008_00005,data\gtsrb\Train\23\00023_00008_00005.png,23
00035_00016_00004,data\gtsrb\Train\35\00035_00016_00004.png,35
00025_00018_00027,data\gtsrb\Train\25\00025_00018_00027.png,25
00025_00039_00006,data\gtsrb\Train\25\00025_00039_00006.png,25
00005_00022_00018,data\gtsrb\Train\5\00005_00022_00018.png,5
00014_00012_00007,data\gtsrb\Train\14\00014_00012_00007.png,14
00017_00013_00020,data\gtsrb\Train\17\00017_00013_00020.png,17
00018_00038_00014,data\gtsrb\Train\18\00018_00038_00014.png,18
00012_00029_00024,data\gtsrb\Train\12\00012_00029_00024.png,12
00005_00004_00017,data\gtsrb\Train\5\00005_00004_00017.png,5
00014_00022_00001,data\gtsrb\Train\14\00014_00022_00001.png,14
00035_00036_00007,data\gtsrb\Train\35\00035_00036_00007.png,35
00008_00038_00016,data\gtsrb\Train\8\00008_00038_00016.png,8
00002_00041_00029,data\gtsrb\Train\2\00002_00041_00029.png,2
00031_00010_00024,data\gtsrb\Train\31\00031_00010_00024.png,31
00011_00028_00025,data\gtsrb\Train\11\00011_00028_00025.png,11
00004_00039_00026,data\gtsrb\Train\4\00004_00039_00026.png,4
00014_00010_00008,data\gtsrb\Train\14\00014_00010_00008.png,14
00023_00009_00020,data\gtsrb\Train\23\00023_00009_00020.png,23
00005_00035_00008,data\gtsrb\Train\5\00005_00035_00008.png,5
00002_00028_00018,data\gtsrb\Train\2\00002_00028_00018.png,2
00033_00020_00006,data\gtsrb\Train\33\00033_00020_00006.png,33
00025_00016_00009,data\gtsrb\Train\25\00025_00016_00009.png,25
00010_00019_00024,data\gtsrb\Train\10\00010_00019_00024.png,10
00008_00025_00005,data\gtsrb\Train\8\00008_00025_00005.png,8
00004_00032_00019,data\gtsrb\Train\4\00004_00032_00019.png,4
00015_00017_00007,data\gtsrb\Train\15\00015_00017_00007.png,15
00028_00004_00009,data\gtsrb\Train\28\00028_00004_00009.png,28
00001_00050_00002,data\gtsrb\Train\1\00001_00050_00002.png,1
00008_00026_00014,data\gtsrb\Train\8\00008_00026_00014.png,8
00014_00011_00013,data\gtsrb\Train\14\00014_00011_00013.png,14
00033_00018_00003,data\gtsrb\Train\33\00033_00018_00003.png,33
00004_00010_00028,data\gtsrb\Train\4\00004_00010_00028.png,4
00029_00006_00002,data\gtsrb\Train\29\00029_00006_00002.png,29
00012_00006_00003,data\gtsrb\Train\12\00012_00006_00003.png,12
00010_00060_00001,data\gtsrb\Train\10\00010_00060_00001.png,10
00004_00058_00007,data\gtsrb\Train\4\00004_00058_00007.png,4
00008_00042_00014,data\gtsrb\Train\8\00008_00042_00014.png,8
00002_00033_00009,data\gtsrb\Train\2\00002_00033_00009.png,2
00015_00001_00007,data\gtsrb\Train\15\00015_00001_00007.png,15
00001_00072_00022,data\gtsrb\Train\1\00001_00072_00022.png,1
00005_00035_00013,data\gtsrb\Train\5\00005_00035_00013.png,5
00019_00002_00022,data\gtsrb\Train\19\00019_00002_00022.png,19
00023_00006_00001,data\gtsrb\Train\23\00023_00006_00001.png,23
00038_00009_00021,data\gtsrb\Train\38\00038_00009_00021.png,38
00004_00035_00018,data\gtsrb\Train\4\00004_00035_00018.png,4
00013_00001_00015,data\gtsrb\Train\13\00013_00001_00015.png,13
00033_00005_00008,data\gtsrb\Train\33\00033_00005_00008.png,33
00035_00035_00014,data\gtsrb\Train\35\00035_00035_00014.png,35
00011_00005_00011,data\gtsrb\Train\11\00011_00005_00011.png,11
00001_00013_00020,data\gtsrb\Train\1\00001_00013_00020.png,1
00002_00028_00017,data\gtsrb\Train\2\00002_00028_00017.png,2
00005_00016_00018,data\gtsrb\Train\5\00005_00016_00018.png,5
00011_00035_00006,data\gtsrb\Train\11\00011_00035_00006.png,11
00011_00013_00017,data\gtsrb\Train\11\00011_00013_00017.png,11
00009_00023_00023,data\gtsrb\Train\9\00009_00023_00023.png,9
00000_00001_00014,data\gtsrb\Train\0\00000_00001_00014.png,0
00015_00007_00021,data\gtsrb\Train\15\00015_00007_00021.png,15
00005_00031_00026,data\gtsrb\Train\5\00005_00031_00026.png,5
00002_00021_00011,data\gtsrb\Train\2\00002_00021_00011.png,2
00012_00053_00023,data\gtsrb\Train\12\00012_00053_00023.png,12
00012_00060_00023,data\gtsrb\Train\12\00012_00060_00023.png,12
00003_00027_00025,data\gtsrb\Train\3\00003_00027_00025.png,3
00025_00020_00026,data\gtsrb\Train\25\00025_00020_00026.png,25
00012_00035_00026,data\gtsrb\Train\12\00012_00035_00026.png,12
00013_00015_00017,data\gtsrb\Train\13\00013_00015_00017.png,13
00033_00022_00008,data\gtsrb\Train\33\00033_00022_00008.png,33
00038_00049_00015,data\gtsrb\Train\38\00038_00049_00015.png,38
00029_00004_00026,data\gtsrb\Train\29\00029_00004_00026.png,29
00012_00066_00029,data\gtsrb\Train\12\00012_00066_00029.png,12
00001_00037_00020,data\gtsrb\Train\1\00001_00037_00020.png,1
00002_00019_00007,data\gtsrb\Train\2\00002_00019_00007.png,2
00007_00040_00014,data\gtsrb\Train\7\00007_00040_00014.png,7
00004_00020_00017,data\gtsrb\Train\4\00004_00020_00017.png,4
00033_00004_00011,data\gtsrb\Train\33\00033_00004_00011.png,33
00012_00003_00029,data\gtsrb\Train\12\00012_00003_00029.png,12
00004_00025_00027,data\gtsrb\Train\4\00004_00025_00027.png,4
00032_00003_00025,data\gtsrb\Train\32\00032_00003_00025.png,32
